Restaurant,Reviewer,Review,Rating,Time,Super-Score
Beyond Flavours,Piyali Mahapatra,nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place,5.0,2019-05-19 22:32:00,6.32
Beyond Flavours,Mehak Malhotra,dinner friends menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely,5.0,2019-05-19 22:29:00,6.3100000000000005
Beyond Flavours,Pradeep Kumar Gupta,service experience good especially papiya food served good tasty served well would like visit beyond recommend friends food reasonable price,5.0,2019-05-19 21:52:00,6.4
Beyond Flavours,Shubham Singh Chauhan,service food ambiance nice staff humble taking order serving food live music like cherry cake,5.0,2019-05-19 21:30:00,5.93
Beyond Flavours,Prerna Mund,food ordered banjara tangdi starter best among papiya shuvro well mannered service best among,5.0,2019-05-19 21:26:00,5.93
Beyond Flavours,Pranith Patro,staff polite responsive food best part better ambience also awesome met two persons named papiya shuvro best services food items liked basket biryani kodi drum sticks finally loved,5.0,2019-05-18 21:54:00,6.8
Beyond Flavours,Sai Raj Kiran,came parents ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well,4.0,2019-05-18 15:54:00,5.45
Beyond Flavours,Razeen,well new hyderabad fact say probably best place eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience,5.0,2019-05-18 15:53:00,6.8
Beyond Flavours,Prasanna,wonderful place awesome ambience best visit night see pretty lights enjoy savory foods shubro papiya good service,5.0,2019-05-18 15:18:00,6.13
Beyond Flavours,Jeevith Reddy,good ambience great service buffet people waiters patient even got noodles replaced since one served buffet went bad shoutout shubro pradeep took care entire afternoon,4.0,2019-05-18 15:06:00,5.67
Beyond Flavours,Sugandha Saxena,review place comes multiple visits spanned months safely say one good places around located near biodiversity signal fabindia ample parking two four wheelers ambience bit dim dark seating divided various options including pdr section menu design shape bottle array spans continental chinese indian cuisines list things tried across visits panko crumbed mozzarella sticks cheese sticks coated fried pure cheese bliss veg lasagna place one good lasagne town crispy chilli corn kernels usual favourite one slightly different presentation makhmali paneer tikka cottage cheese shashlik sizzler italian nachos nachos topped red sauce cheese baked dish cheese cheese pizza soft base pizza loaded cheese pieces green olives stress enough loved tried also tried lunch buffet variety may elaborate places food quality discount offer bulk bookings least one time try really adore mocktails beyond delight absolute delight also fan guava chilli apple kiwi night drinks staff ever courteous special mention papiya shuvro attendants latest visit place zomato gold brings reasonable rates meal two would roughly around fills tummy also heart,4.0,2019-05-18 14:53:00,15.26
Beyond Flavours,Singh.ibm,lunch today beyond flavors food good delicious awesome service provided soumen das shuvro would highly recommend restaurant,5.0,2019-05-18 14:48:00,6.23
Beyond Flavours,Sind Hu,reason giving star longlong time wait tables went friday afternoon waited almost mins get table lost patience left another restaurant v get table even aftr waiting long time think restaurant management take consideration try decrease waiting time customer,3.0,2019-05-18 14:16:00,5.55
Beyond Flavours,Sameer Singh,service really exceptional cheers manav served us really well food nice loved ambience nice music playing background,4.0,2019-05-17 22:46:00,5.16
Beyond Flavours,Jaya Phaneendra,soumen das waited table thanks buddy great service visit soon soumen das waited table thanks buddy great service visit soon soumen das waited table thanks buddy great service visit soon soumen das waited table thanks buddy great service visit soon,5.0,2019-05-17 22:17:00,7.470000000000001
Beyond Flavours,Gokulnath Kunjumon,papiya shuvro great helped us get tables quickly suggested us best sizzlers menu ambience awesome suggested best table helpful till visit awesome service guys try well u plan take loved one n give osm experience place,5.0,2019-05-17 21:12:00,7.17
Beyond Flavours,Raj Verma,quite good ambience liked special restro biryani must try like service papiya shuvro really good der service like visit nice place visit specially nyt tym food yum try biryani,5.0,2019-05-17 15:33:00,6.75
Beyond Flavours,AKANKSHA GAIKWAD,pradeep shubroto amazing friendly service awesome n food world must visit people visit,5.0,2019-05-17 14:32:00,5.86
Beyond Flavours,Divyakant,visited place colleagues farewell really great time good food service pradeep shobro come later,5.0,2019-05-17 14:30:00,5.95
Beyond Flavours,Anisha Rajput,restaurant amazing ambience staff polite suggest good recommendations food visit beyond flavours sometime reach papiya shuvro suggest really good dishes,5.0,2019-05-16 22:31:00,6.52
Beyond Flavours,Chaitanya Patwari,excellent food service special mention papiya shuvro surprised see good quality food served low prices ambience quite good highly recommended,5.0,2019-05-16 21:56:00,6.41
Beyond Flavours,Hasini1998,papiya shuvro f b executives really courteous friendly thoroughly enjoyed experience good place cute lil date hehe nice family dinner,5.0,2019-05-16 21:17:00,6.33
Beyond Flavours,Catherene Clement,first time visited restaurant experience good terms food hospitality service ambience thanks shubro papiya hospitality,5.0,2019-05-16 20:44:00,6.18
Beyond Flavours,Dyagamrahul,went lunch buffet yesterday took chance seeing good average reviews zomato spread buffet less veg non veg starters main course veg non veg one fried rice chicken biryani desserts ice cream jamun taste ok expect much little disappointing starters hot fish fry decent schezwan chicken ok veg spring rolls good big surprise onion rings starters kadai ghost main course good missing masala flavour chicken ok biryani average egg fried rice good money pay expect good food use much colour food item suggestion management use less coating less food colouring starters overall experience ok much better amount pay,3.0,2019-05-16 07:13:00,9.059999999999999
Beyond Flavours,Malleshwari Seelam,place beyond beautiful ambience excellent food good service soumen das extremely good highly recommended place,4.0,2019-05-15 21:46:00,5.1
Beyond Flavours,Vibhor Joshi,beyond times tried lot dishes never disappoints would specially recommend soups healthy broth soup roasted chicken soup amazing addition service great server papiya courteous prompt place become go place good dining experience,5.0,2019-05-15 21:09:00,7.26
Beyond Flavours,Vikas Raikwar,time waste taste u r welcome taste really superb service slow dishes impressively different flavours liked,4.0,2019-05-15 18:33:00,5.0600000000000005
Beyond Flavours,Snigdha Jidigam,food good would add could increase spread ananya courteous good serving ambience also good peaceful,5.0,2019-05-15 15:18:00,5.99
Beyond Flavours,Tatarao Vana,pardeep shubrat served great food great ambience must try food awesome ambience good great place go team,5.0,2019-05-15 15:07:00,6.04
Beyond Flavours,Oblesh J,one best restaurants hyderabad near gachibowli ambiance good lunch spread good tasty thank papiya guidance,5.0,2019-05-15 15:02:00,6.0600000000000005
Beyond Flavours,Sharmistha Kamat,really liked food different get every restaurant really appreciate service papiya loved presentation food,5.0,2019-05-15 14:49:00,6.05
Beyond Flavours,Monika,good food good time place ambience really good nice time thanks shubro assistance guidance food,4.0,2019-05-15 14:18:00,4.95
Beyond Flavours,Hemant Bissa,best place hangout food really great thanks papiya service staff reallly co operative ambience really great especially pdr private dining room awesome,5.0,2019-05-15 14:13:00,6.5
Beyond Flavours,Tejaswi Rao,went team lunch worst restaurant food tasteless service slow ac working requested multiple times use please waste money strictly recommend prefer beyond flavours,1.0,2019-05-15 03:26:00,2.6100000000000003
Beyond Flavours,Satyajit Sarangi,discovered place returning despicable day office walked ordered food thinking takeout food one could get outlet food turned saviour way designed place indeed remarkable lights mixed setup would give retro feel good normal group people would want sit great conversation food,5.0,2019-05-15 00:17:00,7.73
Beyond Flavours,Gautam Dev,second time really beyond imagination beyond taste beyond flavours well courteous staff hospitile taste good best part presentation really meeting standard star restaurant impressed mr ahmed pradeep mr dipanajan friendly took care us well good job guys keep,5.0,2019-05-15 00:07:00,7.57
Beyond Flavours,Paridhi Mittal,ordered vegetable lasagne sizzler chicken tikka absolutely delicious ambience amazing service good,5.0,2019-05-15 00:00:00,5.98
Beyond Flavours,Sathya K,one best food experiences hyderabad desserts yum appricot pudding must ahmed khan service unparalled keep good work,5.0,2019-05-14 23:12:00,6.15
Beyond Flavours,Rashmi Prasad,ahmed great help beyond flavour may suggest great food good experience staters sizzler good sauce use chicken dish awsome nan soft even take without butter easily eat great experience beyond flavors,5.0,2019-05-14 22:58:00,6.98
Beyond Flavours,Shopharsh29,dinner place attendant papiya staff friendly ambiance awesome good variety food beverages,5.0,2019-05-14 21:24:00,5.89
Beyond Flavours,Saswati Kar Choudhury,happened go place last sunday mothers day flat buffet meal mother really liked needless say ambience music really good reservation wait fir mins get seat served us mango juice wrlcome drink tasted really good buffet spread one kind strters veg paneer tikka veg spring roll veg cutlet lil cold taste wad good non veg chicken kebab chicken manchurian fish fish tasty though coupd taste better hot chicken fair enuf singapore noodles egg salad pasta good cold main course mutton rogan josh chicken tikka masala palak paneer equally good biriyani egg frued rice chicken biriyani really great desserts moong dal halwa tasted really yumm ice cream gulab jamun cut fruits banana cake staff slow service food refilles slow wait quite long time actually eat stomach full could improve points stand better overall,3.0,2019-05-14 16:26:00,11.03
Beyond Flavours,Manish Reddy,good ambience absolutely delicious food got best company ananya beyond flavours place quite peaceful music fun loving staff great place friends,4.0,2019-05-14 15:43:00,5.43
Beyond Flavours,Mudit,place dinner days back ambience good restaurant almost half occupied immediately got table waited mins get water menu reminders ordered starters main course items mock drinks starters could served mins sign mock drinks noticed similar service issues tables noticed guests literally shouting staff food average dishes prepared well least compared rating zomato finally decided starters hop onto another restaurant rest meal,2.0,2019-05-12 08:37:00,6.22
Beyond Flavours,Susmitha Penisetti,place twice different experiences st time colleagues loved food ambience service everything except prices costly special baked biriyani work try unique tasty good experience revisited place sister orders mocktail terrible replace still good asked starter bone boneless told boneless later arrival told comes disappointing know staff know menu,3.0,2019-05-12 00:13:00,6.42
Beyond Flavours,Tanmayee Manchiraju,one best places hangout friends seemed like quiet common place group lunches etc food good ambience also nice loved everything,5.0,2019-05-11 22:51:00,6.26
Beyond Flavours,Sunil.bollineni,ambience good staff polite friendly food super good nice time lunch keep good work thank nice hospitality loved,5.0,2019-05-11 16:32:00,6.11
Beyond Flavours,Vignesh Rk,would like introduce restaurant new ingredient called salt add yo food would taste way better basically none food ordered salt ordered fries panko mozzarella sticks tomato cream soup panner italian nachos sure nachos italian basically bought pack dorittos added mozarella cheese top beans baked entire dish cold except plate brought pretty sure dumped items stashed inside microwave paneer horrendous might well called garlic salt next mozarella sticks cold salt decent item got fries soup thanks gid didnt order main course came odd thanks zomato gold price went place way expensive quality food serve talking restaurant general place looks decent stoves stashed tables seats plants kept inconvenient spots really need clean,1.0,2019-05-11 10:06:00,8.25
Beyond Flavours,Surya Sharma,hostile staff okeish food great ambiance sure rating zomato stands starters decent main course horrible suggest place,1.0,2019-05-10 23:24:00,2.17
Beyond Flavours,Spandhana.hr,thanks ahmed food great recommend visit service excellent ambience good great time family,5.0,2019-05-09 23:00:00,5.89
Beyond Flavours,Manab Maji,place flavor food service like beyond good beyond expectations really really quality worth money personally highly recommend place great flavour food much prompt service ambience also enhance flavor restaurant,5.0,2019-05-09 19:47:00,7.09
Beyond Flavours,Parshwa Shah,food quality taste good super slow service nice ambience poor customer handling lot items available even menu,2.0,2019-05-09 14:48:00,3.09
Beyond Flavours,Sreshta Ladegaam,worst experience restaurant ever first starters served half hour ordering chicken popcorn hair strand yuck guy took main course order forgot completely order waiting almost hour wait another half hour get food worst got us chicken lasagna instead veg lasagna figured chicken right one staunch vegetarian friend almost ate recommend place many better places gachibowli could save time provide better service,1.0,2019-05-09 12:37:00,5.06
Beyond Flavours,Kiron Kshetrapal,place really recommend restaurant food lover specifically continental food lover pasta sizzlers yummy cant stop choose restaurant rather service part really satisfied,5.0,2019-05-09 11:18:00,6.66
Beyond Flavours,Navneet Raj,much impressed quality food service specially mr ahmed thank politeness readiness food say beyond flavours loved place must visit great ambience,5.0,2019-05-08 23:52:00,6.4399999999999995
Beyond Flavours,Debapriya Chhotray,food indeed beyond falvours ahmed served us well hoping meet next time soon great ambience amazing songs background added innumerous flavours delicious food,5.0,2019-05-08 22:27:00,6.5600000000000005
Beyond Flavours,Mahesh Tambe,starters good service also good ahmed polite helped us selecting menu l tuned great would like come back,5.0,2019-05-08 21:58:00,6.04
Beyond Flavours,Trupti Dhongdi,bad experience beyond flavours really puts beyond flavours gone dinner next day get hospitalised food infection guess food served fresh,1.0,2019-05-08 14:35:00,2.35
Beyond Flavours,SitaMilind,lovely ambience roasted chicken soup highlight dinner basket biryani full flavours yumm lasagne great nice go whole family appetisers quantity less though,4.0,2019-05-07 00:41:00,5.54
Beyond Flavours,Lakshmi Prasanna,liked food ambience problem staff responsive ordered one item got something else otherwise place food good,2.0,2019-05-06 11:37:00,3.06
Beyond Flavours,S Santhosh,worst service experience food ok took mins get veg pulav never seen restaurant take time visit,1.0,2019-05-05 22:39:00,1.94
Beyond Flavours,Farheen Shaik,waiters good enough get items ordered overall bad experience waiting time expected,1.0,2019-05-05 22:10:00,1.8199999999999998
Beyond Flavours,Abhijit Banerjee,awesome food good ambience centrally located ample parking coordination serving boys service scope improvement boys courteous though sure bar closed saturday evening overall good experience extremely value money visit,4.0,2019-05-05 14:24:00,6.17
Beyond Flavours,Gaurav Saini,office lunch outing rating would mixed food fine service bad booked table day still wait mins get one manager polite gave rubbish reasons bad service ambiance fine,3.0,2019-05-04 16:56:00,4.63
Beyond Flavours,Kailash Sain,really enjoyed follows entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant realy recommend restaurant,5.0,2019-05-03 20:10:00,6.68
Beyond Flavours,KAILASH SAIN,came first time restaurant entrance music lighting seating arrangement decorations everything awsome food best service enhance flavour restaurant,5.0,2019-05-03 20:06:00,6.45
Beyond Flavours,Yaswanth Chowdary,pathetic horrible experience ambience hospitality food chairs tables broken food cold tasteless buffet arrangement good could bit spacious,2.0,2019-05-03 11:40:00,3.38
Beyond Flavours,Aditya,ahmed serving us polite cooperative staff amazing food ambience veg gilaffi kabab lasgna must try loved overall experience,4.0,2019-05-02 23:28:00,5.22
Paradise,Subodh Deshmukh,paradise biryani really good service also good staff friendly ambiance nice chicken biryani mutton biryani good thank,5.0,2019-05-25 16:50:00,6.17
Paradise,BIBHU BHUSHAN SINHA,chiken biryani good spcal chiken cary good testy food enjoy food next time visiting family friends,5.0,2019-05-25 16:33:00,5.98
Paradise,Behara Venkatasiva,good hospitality good ambiance good food v good facility packing biriyani long distances good place visit mainly hyderabad biriyani,5.0,2019-05-25 16:20:00,6.3100000000000005
Paradise,Veera Babu,good food tasty better music food better quick response everything good good environment,5.0,2019-05-25 15:02:00,5.88
Paradise,KADIYAM MOUNIKA,goodtaste ever paradise makes magic chefs gladly prepare way u prefer nice serve everyone world best biryani,5.0,2019-05-25 14:58:00,6.08
Paradise,Chaitu Gowd,food quality good takes time food arrives food taste good staff good perfect family lunch dinner enjoy,4.0,2019-05-25 14:56:00,5.02
Paradise,Sk Saleem,tasty food good service enjoyed lot paradise quick response providers fast delivery tasty food good place good economic people,5.0,2019-05-25 14:54:00,6.26
Paradise,Shiva Boddu,ordered one chicken one mutton biryani good paradise definitly great restaurant biryani restaurant ambinence good along quick service,5.0,2019-05-25 14:32:00,6.33
Paradise,Sandeep Kiran,always best time favorite food biryani ka baap every time visit feel something special almost visited times simply best,4.0,2019-05-25 13:25:00,5.1899999999999995
Paradise,Sumanvarma984975,good taste love visit family friends hopefully enjoyed taste biryani make happens every time,5.0,2019-05-25 13:02:00,5.92
Paradise,Murli Aadepu,usual food always good world famous biryani love eat paradise biryani ever service n ambiance also good,5.0,2019-05-24 22:36:00,6.03
Paradise,SAI KARTHIK BURANPUR,ordered tandoori chicken starters tasty light butter naan mutton masala main course ordered chicken biryani egg mutton biryani tasty light mutton piecs cooked perfection,4.0,2019-05-24 22:20:00,5.6899999999999995
Paradise,M.S. VELAN,fri approach services especially shri krishan excellent service rendered dishes tasty like visit recommend friends,5.0,2019-05-24 22:15:00,6.14
Paradise,Moulika Reddy,order drumsticks chicken biryani awesome taste good service rating good response service boys good serving good seating,5.0,2019-05-24 21:39:00,6.1899999999999995
Paradise,Yash Ashwin,food hospitality staff amazing service fast ambience place really good really recommened everyone try kadai chicken,5.0,2019-05-24 21:34:00,6.15
Paradise,Ajaygoud,service good food also good ambiance good chicken biriyani egg biriyani really good nice service good food overall good,5.0,2019-05-24 21:17:00,6.1899999999999995
Paradise,Laxmikanth M,ordered chicken biryani egg biriyani food awesome nice place great ambitious definitely come next time service good,5.0,2019-05-24 21:17:00,6.15
Paradise,Venu Gopal,friendly nice service chicken biryani delicious curry bowl design nice nice temp nice cooling nice tooth pics nice spot selfie nice restaurant settings,5.0,2019-05-24 20:32:00,6.51
Paradise,Milan Malkiya,nice humble staff tasty biryani many people told try another place paradise truly paradise biryani lovers,5.0,2019-05-24 20:12:00,6.05
Paradise,Kavya Rastogi,nice restaurant friendly courteous staff variety options choose curry raita really good good options veggies also try,4.0,2019-05-24 16:52:00,5.17
Paradise,Swèét Søñu,food good staff humble great time people good service good food nise ambiance biriyani hybd hybd india,5.0,2019-05-24 16:34:00,6.02
Paradise,Jhansi Kodali Jhanu,haleem good egg biryani also tasty compared places service good happy next time visiting soon friends,4.0,2019-05-24 15:18:00,5.01
Paradise,Sai Vamsi Krishna G,haleem good chiken biryani good nice place paradise gachibowli happy next time visiting friends,5.0,2019-05-24 15:14:00,5.95
Paradise,Chandrakanth Rachakonda,ordered special chicken biryani received two ordinary biryani bones big time disappointment place known biryani feel like worst biryani costed bucks receiving bucks biryani worst experience,1.0,2019-05-24 14:22:00,2.8899999999999997
Paradise,Vijaykumar123,nice taste good maintenance nizam chicken biryani good pepper chicken tasty service fast good receiving please visit tasty food,5.0,2019-05-24 12:35:00,6.27
Paradise,Si Reddy,parans good ege biryani good service good next time visit friends family lastly thank,5.0,2019-05-23 22:21:00,5.85
Paradise,Arko Guha,nice place eat great food great service value money great ambience highly recommended prices bit high definitely worth,5.0,2019-05-23 21:10:00,6.18
Paradise,Divya Mani,good food good service good options vegetarians also desserts tasty ambience also neat place looks hygienic,4.0,2019-05-23 14:20:00,5.07
Paradise,Ksj J,ege biriyani good service good nice place paradise gachibowli happy next time visit friends family,5.0,2019-05-23 13:56:00,5.98
Paradise,Arpit Nigam,food especially haleem people hate mutton smell wanted taste haleem go try restaurant service ambience cool,5.0,2019-05-22 23:01:00,6.07
Paradise,Santu Jinaga,chicken biriyani good service good nice place happy enjoy food next time visit family friends,5.0,2019-05-22 22:58:00,5.93
Paradise,Ramesh Elluri,chicken biriyani good nice place paradise gachibowli service good nice enjoy food next time visit soon friends,5.0,2019-05-22 22:55:00,6.1
Paradise,Nitesh,awesome biryani kebabs apollo fish best one clean hygienic food courteous staff prompt service response keep good work,5.0,2019-05-22 22:55:00,6.18
Paradise,Rohit Paradesi,nice staff food good tasty ambience good service good staff polite customers overall food great woo,5.0,2019-05-22 22:40:00,5.99
Paradise,Lenin Ramtenki,nice place enjoy food servive good food delicious decent ambience good place enjoy nizamis food hyderabad,4.0,2019-05-22 21:59:00,5.05
Paradise,Mandeep,awesome service rajesh team tasty food brevage keep rocking guys become favourite place love come back,5.0,2019-05-22 20:51:00,6.02
Paradise,Gaurab Biswas,really delicious though much spicy good grab go must try ur looking good non veg stuff also get experience good ambience,5.0,2019-05-22 20:45:00,6.2
Paradise,Surendra Sethi,bad dine experience restaurant booked place office lunch instructions none met restaurant overall bad experience,1.0,2019-05-22 17:22:00,2.12
Paradise,Ganges Rahul,always best food service chicken good chicken biryani good nice place soo enjoy food lastly thank,5.0,2019-05-22 16:34:00,5.97
Paradise,Bhuvan Vankayalapati,good service excellent food chicken biryani mutton biryani good ambience also nice good staff overall good food good service happy time,5.0,2019-05-22 15:56:00,6.35
Paradise,Noor Mohammed Zubair,taste huge hype biryani hence tried find taste par really happy food taste ambience place well versed calming enough keep concentrated food ac working properly led uneasy food experience service alright much talk,3.0,2019-05-22 12:46:00,5.12
Paradise,Rama Teja,mutton biryani good service good nice place paradise gachibowli next time visiting family friends,5.0,2019-05-21 22:09:00,5.97
Paradise,Mahender Chenna,tanduri chiken good chiken biriyani good nice place paradise gachibowli happy enjoy food service good,5.0,2019-05-21 21:57:00,6.01
Paradise,Somsubhra Chakraborty,paradise gachibowli amazing restaurant always received warm service amazing food saleem wonderful server provided good service really love place,5.0,2019-05-21 21:39:00,6.4399999999999995
Paradise,Kiki,mutton biryani nice awesome chicken tikka great favourite service nice polite nice time visit soon finally upto mint thats great,5.0,2019-05-21 20:12:00,6.28
Paradise,Aijaz,good time best service near place come food tasty good good good good food nice restaurant would like come thank much tasty food,5.0,2019-05-20 20:51:00,6.28
Paradise,Prashant Kumar K,taste biriyani well defined taste flavour price biriyani quite leaving service staffs good secure,5.0,2019-05-19 20:02:00,5.97
Paradise,Saikrishna CS,biryani taste good service also good ambience waiter response also good table well maintained clean waiting food,5.0,2019-05-19 17:59:00,6.12
Paradise,Amar Stark,like way staff treats customers coolest thing seen food presentation also food tooo good especially supreme chicken biryani,5.0,2019-05-19 14:11:00,6.23
Paradise,Sumit Singh,biryani good service good suggest everyone visit good place come family place visit,4.0,2019-05-18 22:18:00,4.83
Paradise,Indira Prasanth,haleem good enjoying food nice place paradise gachibowli service good like next time visit,5.0,2019-05-18 21:30:00,5.9
Paradise,Srinaja Sahoo,haleem mutton biryani dishes amazingly well cooked service provided tremendous must visit restaurant,5.0,2019-05-18 21:25:00,6.0
Paradise,Vellala Pavan Kumar Pavankumar,menu good service also good taste good biryani good items good birya nice flavour staturs good lime shoda good,5.0,2019-05-18 20:33:00,6.1
Paradise,V Srikar,food delicious service also good environment good pleasant pictures walls veg items must specially tried,5.0,2019-05-18 20:26:00,6.04
Paradise,Kranthi,delighted taste always expect fair good service value money awesome hangout always recommend place,5.0,2019-05-18 17:46:00,5.98
Paradise,Chinna Ramakrishna,good food service quality good ambiance hospitality amazing really enjoyed food judi busy bug birth nick,5.0,2019-05-18 14:05:00,6.04
Paradise,Sandeep Reddy,chiken biriyani good muttan biriyani good service good happy nice place paradise gachibowli next time visit,5.0,2019-05-18 14:03:00,6.07
Paradise,Anjar Babu,regular customer paradise first time zomato ratting given delicious chicken biriyani speed service staff also good thank paradise,5.0,2019-05-18 13:39:00,6.29
Paradise,Gajengi Raju,excellent food years miss whenever visit hyderabad love paradise biryani much hyderabad excellent services,5.0,2019-05-17 21:57:00,6.0600000000000005
Paradise,Shashank Sinha,chicken biriyani good chicken pice soft place good service good happy nexr time visit friends,5.0,2019-05-17 21:33:00,5.93
Paradise,Sravani,mutton biryani amazing always expecting increase quantity ambience good staff good quick response everything food served within time really appreciated,5.0,2019-05-17 21:26:00,6.51
